,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
131,132,Stephen F. Austin,WAC,7-5,+2.67,101.4,98.7,72.8,-.033,+0.07,103.6,103.6,+0.72
132,133,Western Carolina,SC,10-2,+2.62,106.0,103.4,69.9,+.171,-1.97,102.8,104.8,-1.97
133,134,Furman,SC,6-6,+2.60,109.0,106.4,73.4,-.120,+1.36,107.5,106.1,+1.36
134,135,South Florida,Amer,6-4,+2.59,102.5,99.9,70.9,-.043,-5.40,102.4,107.8,-5.40
135,136,Youngstown St.,Horz,10-3,+2.53,105.0,102.4,70.7,+.108,+0.34,105.7,105.3,+2.52
136,137,High Point,BSth,10-4,+2.51,110.3,107.8,67.6,-.093,-3.64,103.3,107.0,-3.64
137,138,UNC Greensboro,SC,9-3,+2.49,107.3,104.8,67.0,+.056,-2.94,103.8,106.7,-2.94
138,139,Loyola Chicago,A10,7-5,+2.29,104.1,101.8,69.0,+.018,-2.11,102.2,104.3,-2.11
139,140,UC Santa Barbara,BW,7-3,+2.28,107.1,104.8,70.5,+.051,-2.14,102.3,104.4,-2.14
140,141,Wright St.,Horz,6-6,+2.11,111.8,109.7,72.2,-.120,+1.00,105.6,104.6,+3.34
141,142,Delaware,CAA,8-4,+1.81,107.0,105.2,68.4,-.036,-2.85,102.1,104.9,-2.85
142,143,Morehead St.,OVC,9-4,+1.60,106.2,104.6,66.6,+.125,+6.31,108.5,102.2,+6.31
143,144,Radford,BSth,10-4,+1.53,106.2,104.7,65.4,+.090,-2.35,103.4,105.8,-2.35
144,145,UMass Lowell,AE,8-4,+1.28,103.7,102.4,70.3,-.051,-3.51,99.4,102.9,-3.51
145,146,Belmont,MVC,9-4,+1.27,108.9,107.6,72.9,+.173,-0.38,104.0,104.4,+0.20
146,147,Oakland,Horz,6-7,+1.19,107.3,106.2,67.5,+.028,+7.01,108.3,101.2,+10.20
147,148,Illinois Chicago,MVC,7-5,+1.19,100.5,99.3,69.0,-.143,-4.33,101.5,105.8,-3.99
148,149,Winthrop,BSth,8-6,+1.16,106.8,105.7,68.2,-.039,-0.23,105.0,105.3,-0.23
149,150,Portland St.,BSky,9-3,+1.01,103.5,102.5,68.3,+.075,+0.99,104.0,103.0,+0.99
150,151,Purdue Fort Wayne,Horz,11-2,+0.99,105.0,104.0,72.3,+.088,-6.81,99.2,106.0,-7.31
